Name-Type,Name,Type,URL,Campaign,Region Mismatch,Actual Region,Wiki Region,Experience,Gold,Faction,Faction Type,"Base Reward 
(Zaishen Copper Coins)","First Bonus Reward
(Zaishen Copper Coins)","Second Bonus Reward (HM)
(Zaishen Copper Coins)",Total Zaishen Copper Coints
Justiciar Thommis-Bounty,Justiciar Thommis,Bounty,https://wiki.guildwars.com/wiki/Justiciar_Thommis_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Rand Stormweaver-Bounty,Rand Stormweaver,Bounty,https://wiki.guildwars.com/wiki/Rand_Stormweaver_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Frostmaw the Kinslayer-Bounty,Frostmaw the Kinslayer,Bounty,https://wiki.guildwars.com/wiki/Frostmaw_the_Kinslayer_(Zaishen_quest),Eye of the North,FALSE,Far Shiverpeaks,Depths of Tyria,"10,000","1,500","2,500",Norn reputation points,40,,100,140
Plague of Destruction-Bounty,Plague of Destruction,Bounty,https://wiki.guildwars.com/wiki/Plague_of_Destruction_(Zaishen_quest),Eye of the North,FALSE,Far Shiverpeaks,Depths of Tyria,"10,000","1,500","2,500",Norn reputation points,40,,100,140
Remnant of Antiquities-Bounty,Remnant of Antiquities,Bounty,https://wiki.guildwars.com/wiki/Remnant_of_Antiquities_(Zaishen_quest),Eye of the North,FALSE,Far Shiverpeaks,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Havok Soulwail-Bounty,Havok Soulwail,Bounty,https://wiki.guildwars.com/wiki/Havok_Soulwail_(Zaishen_quest),Eye of the North,FALSE,Far Shiverpeaks,Depths of Tyria,"10,000","1,500","2,500",Norn reputation points,40,,100,140
"Nulfastu, Earthbound-Bounty","Nulfastu, Earthbound",Bounty,"https://wiki.guildwars.com/wiki/Nulfastu,_Earthbound_(Zaishen_quest)",Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"5,000","1,000","1,250",Norn reputation points,30,,75,105
Fronis Irontoe-Bounty,Fronis Irontoe,Bounty,https://wiki.guildwars.com/wiki/Fronis_Irontoe_(Zaishen_quest),Eye of the North,FALSE,Far Shiverpeaks,Depths of Tyria,"1,000",500,500,Dwarf reputation points,20,,50,70
Fenrir-Bounty,Fenrir,Bounty,https://wiki.guildwars.com/wiki/Fenrir_(Zaishen_quest),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"1,000",500,500,Norn reputation points,20,,50,70
"Myish, Lady of the Lake-Bounty","Myish, Lady of the Lake",Bounty,"https://wiki.guildwars.com/wiki/Myish,_Lady_of_the_Lake_(Zaishen_quest)",Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"1,000",500,500,Norn reputation points,20,,50,70
Eldritch Ettin-Bounty,Eldritch Ettin,Bounty,https://wiki.guildwars.com/wiki/Eldritch_Ettin_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Zoldark the Unholy-Bounty,Zoldark the Unholy,Bounty,https://wiki.guildwars.com/wiki/Zoldark_the_Unholy_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Dwarf reputation points,40,,100,140
Z'him Monns-Bounty,Z'him Monns,Bounty,https://wiki.guildwars.com/wiki/Z%27him_Monns_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Asura reputation points,40,,100,140
TPS Regulator Golem-Bounty,TPS Regulator Golem,Bounty,https://wiki.guildwars.com/wiki/TPS_Regulator_Golem_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Asura reputation points,40,,100,140
Arachni-Bounty,Arachni,Bounty,https://wiki.guildwars.com/wiki/Arachni_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Asura reputation points,40,,100,140
Fendi Nin-Bounty,Fendi Nin,Bounty,https://wiki.guildwars.com/wiki/Fendi_Nin_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Asura reputation points,40,,100,140
Khabuus-Bounty,Khabuus,Bounty,https://wiki.guildwars.com/wiki/Khabuus_(Zaishen_quest),Eye of the North,FALSE,Tarnished Coast,Depths of Tyria,"10,000","1,500","2,500",Asura reputation points,40,,100,140
"Mobrin, Lord of the Marsh-Bounty","Mobrin, Lord of the Marsh",Bounty,"https://wiki.guildwars.com/wiki/Mobrin,_Lord_of_the_Marsh_(Zaishen_quest)",Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"5,000","1,000","1,250",Asura reputation points,30,,75,105
Joffs the Mitigator-Bounty,Joffs the Mitigator,Bounty,https://wiki.guildwars.com/wiki/Joffs_the_Mitigator_(Zaishen_quest),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"1,000",500,500,Asura reputation points,20,,50,70
Pywatt the Swift-Bounty,Pywatt the Swift,Bounty,https://wiki.guildwars.com/wiki/Pywatt_the_Swift_(Zaishen_quest),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"1,000",500,500,Asura reputation points,20,,50,70
Urgoz-Bounty,Urgoz,Bounty,https://wiki.guildwars.com/wiki/Urgoz_(Zaishen_quest),Factions,TRUE,Echovald Forest,Echovald Forest,"15,000","2,000","7,500",Kurzick faction,60,,150,210
Arbor Earthcall-Bounty,Arbor Earthcall,Bounty,https://wiki.guildwars.com/wiki/Arbor_Earthcall_(Zaishen_quest),Factions,TRUE,Echovald Forest,Echovald Forest,"1,000",500,500,Kurzick Faction,20,,50,70
Mungri Magicbox-Bounty,Mungri Magicbox,Bounty,https://wiki.guildwars.com/wiki/Mungri_Magicbox_(Zaishen_quest),Factions,TRUE,Echovald Forest,Echovald Forest,"1,000",500,500,Kurzick Faction,20,,50,70
Royen Beastkeeper-Bounty,Royen Beastkeeper,Bounty,https://wiki.guildwars.com/wiki/Royen_Beastkeeper_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"1,000",500,,,20,,50,70
Baubao Wavewrath-Bounty,Baubao Wavewrath,Bounty,https://wiki.guildwars.com/wiki/Baubao_Wavewrath_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"1,000",500,,,20,,50,70
"Chung, the Attuned-Bounty","Chung, the Attuned",Bounty,"https://wiki.guildwars.com/wiki/Chung,_the_Attuned_(Zaishen_quest)",Factions,TRUE,Kaineng City,Kaineng City,"1,000",500,,,20,,50,70
Quansong Spiritspeak-Bounty,Quansong Spiritspeak,Bounty,https://wiki.guildwars.com/wiki/Quansong_Spiritspeak_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"1,000",500,,,20,,50,70
Ghial the Bone Dancer-Bounty,Ghial the Bone Dancer,Bounty,https://wiki.guildwars.com/wiki/Ghial_the_Bone_Dancer_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"1,000",500,,,20,,50,70
Kanaxai-Bounty,Kanaxai,Bounty,https://wiki.guildwars.com/wiki/Kanaxai_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"15,000","2,000","7,500",Luxon Faction,60,,150,210
Mohby Windbeak-Bounty,Mohby Windbeak,Bounty,https://wiki.guildwars.com/wiki/Mohby_Windbeak_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"1,000",500,500,Luxon Faction,20,,50,70
Kunvie Firewing-Bounty,Kunvie Firewing,Bounty,https://wiki.guildwars.com/wiki/Kunvie_Firewing_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"1,000",500,500,Both Kurzick Faction and Luxon Faction,20,,50,70
"Ssuns, Blessed of Dwayna-Bounty","Ssuns, Blessed of Dwayna",Bounty,"https://wiki.guildwars.com/wiki/Ssuns,_Blessed_of_Dwayna_(Zaishen_quest)",Factions,TRUE,The Jade Sea,The Jade Sea,"1,000",500,500,Luxon Faction,20,,50,70
"Droajam, Mage of the Sands-Bounty","Droajam, Mage of the Sands",Bounty,"https://wiki.guildwars.com/wiki/Droajam,_Mage_of_the_Sands_(Zaishen_quest)",Nightfall,TRUE,Desolation,Desolation,"1,000",500,100,Lightbringer Points,20,,50,70
Jedeh the Mighty-Bounty,Jedeh the Mighty,Bounty,https://wiki.guildwars.com/wiki/Jedeh_the_Mighty_(Zaishen_quest),Nightfall,TRUE,Desolation,Desolation,"1,000",500,100,Sunspear Promotion Points,20,,50,70
The Greater Darkness-Bounty,The Greater Darkness,Bounty,https://wiki.guildwars.com/wiki/The_Greater_Darkness_(Zaishen_quest),Nightfall,TRUE,Domain of Anguish,Domain of Anguish,"15,000","2,000",750,Lightbringer Points,60,,150,210
Lord Jadoth-Bounty,Lord Jadoth,Bounty,https://wiki.guildwars.com/wiki/Lord_Jadoth_(Zaishen_quest),Nightfall,TRUE,Domain of Anguish,Domain of Anguish,"15,000","2,000",750,Lightbringer Points,60,,150,210
The Black Beast of Arrgh-Bounty,The Black Beast of Arrgh,Bounty,https://wiki.guildwars.com/wiki/The_Black_Beast_of_Arrgh_(Zaishen_quest),Nightfall,TRUE,Domain of Anguish,Domain of Anguish,"15,000","2,000",750,Lightbringer Points,60,,150,210
The Stygian Lords-Bounty,The Stygian Lords,Bounty,https://wiki.guildwars.com/wiki/The_Stygian_Lords_(Zaishen_quest),Nightfall,TRUE,Domain of Anguish,Domain of Anguish,"10,000","1,500",500,Lightbringer Points,40,,100,140
The Stygian Underlords-Bounty,The Stygian Underlords,Bounty,https://wiki.guildwars.com/wiki/The_Stygian_Underlords_(Zaishen_quest),Nightfall,TRUE,Domain of Anguish,Domain of Anguish,"5,000","1,000",300,Lightbringer Points,30,,75,105
Admiral Kantoh-Bounty,Admiral Kantoh,Bounty,https://wiki.guildwars.com/wiki/Admiral_Kantoh_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"1,000",500,100,Sunspear Promotion Points,20,,50,70
Commander Wahli-Bounty,Commander Wahli,Bounty,https://wiki.guildwars.com/wiki/Commander_Wahli_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"1,000",500,100,Sunspear Promotion Points,20,,50,70
Korshek the Immolated-Bounty,Korshek the Immolated,Bounty,https://wiki.guildwars.com/wiki/Korshek_the_Immolated_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"1,000",500,100,Lightbringer Points,20,,50,70
Jarimiya the Unmerciful-Bounty,Jarimiya the Unmerciful,Bounty,https://wiki.guildwars.com/wiki/Jarimiya_the_Unmerciful_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"1,000",500,100,Sunspear Promotion Points,20,,50,70
Kepkhet Marrowfeast-Bounty,Kepkhet Marrowfeast,Bounty,https://wiki.guildwars.com/wiki/Kepkhet_Marrowfeast_(Zaishen_quest),Prophecies,TRUE,Crystal Desert,Crystal Desert,"1,000",500,,,20,,50,70
Rotscale-Bounty,Rotscale,Bounty,https://wiki.guildwars.com/wiki/Rotscale_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"5,000","1,000",,,30,,75,105
Verata-Bounty,Verata,Bounty,https://wiki.guildwars.com/wiki/Verata_(Zaishen_quest),Prophecies,TRUE,Kryta,Kryta,"1,000",500,,,20,,50,70
Harn and Maxine Coldstone-Bounty,Harn and Maxine Coldstone,Bounty,https://wiki.guildwars.com/wiki/Harn_and_Maxine_Coldstone_(Zaishen_quest),Prophecies,TRUE,Ring of Fire Islands,Ring of Fire Islands,"1,000",500,,,20,,50,70
The Iron Forgeman-Bounty,The Iron Forgeman,Bounty,https://wiki.guildwars.com/wiki/The_Iron_Forgeman_(Zaishen_quest),Prophecies,TRUE,Southern Shiverpeaks,Southern Shiverpeaks,"5,000","1,000",,,30,,75,105
The Darknesses-Bounty,The Darknesses,Bounty,https://wiki.guildwars.com/wiki/The_Darknesses_(Zaishen_quest),Prophecies,TRUE,The Mists,The Mists,"10,000","1,500",,,40,,100,140
Heroes' Ascent-Combat,Heroes' Ascent,Combat,https://wiki.guildwars.com/wiki/Heroes%27_Ascent_(Zaishen_quest),Core,TRUE,PvP,PvP,0,"1,500","9,000",Balthazar Faction,50,100,200,350
Guild Versus Guild-Combat,Guild Versus Guild,Combat,https://wiki.guildwars.com/wiki/Guild_Versus_Guild_(Zaishen_quest),Core,TRUE,PvP,PvP,0,"1,500","9,000",Balthazar Faction,50,100,200,350
Codex Arena-Combat,Codex Arena,Combat,https://wiki.guildwars.com/wiki/Codex_Arena_(Zaishen_quest),Core,TRUE,PvP,PvP,0,"1,000","6,000",Balthazar Faction,25,50,100,175
Random Arena-Combat,Random Arena,Combat,https://wiki.guildwars.com/wiki/Random_Arena_(Zaishen_quest),Core,TRUE,PvP,PvP,0,500,"3,000",Balthazar Faction,15,30,60,105
Alliance Battles-Combat,Alliance Battles,Combat,https://wiki.guildwars.com/wiki/Alliance_Battles_(Zaishen_quest),Factions,TRUE,PvP,PvP,0,"1,000","7,500",Imperial Faction,25,50,100,175
Jade Quarry-Combat,Jade Quarry,Combat,https://wiki.guildwars.com/wiki/Jade_Quarry_(Zaishen_quest),Factions,TRUE,PvP,PvP,0,500,"5,000",Imperial Faction,15,30,60,105
Fort Aspenwood-Combat,Fort Aspenwood,Combat,https://wiki.guildwars.com/wiki/Fort_Aspenwood_(Zaishen_quest),Factions,TRUE,PvP,PvP,0,500,"5,000",Imperial Faction,15,30,60,105
Assault on the Stronghold-Mission,Assault on the Stronghold,Mission,https://wiki.guildwars.com/wiki/Assault_on_the_Stronghold_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"5,000","1,000","2,500",Vanguard reputation points,40,,100,140
Against the Charr-Mission,Against the Charr,Mission,https://wiki.guildwars.com/wiki/Against_the_Charr_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"3,000",500,"1,500",Vanguard reputation points,30,,75,105
Warband of Brothers-Mission,Warband of Brothers,Mission,https://wiki.guildwars.com/wiki/Warband_of_Brothers_(Zaishen_quest),Eye of the North,TRUE,Charr Homelands,Charr Homelands,"3,000",500,"1,500",Vanguard reputation points,30,,75,105
A Time for Heroes-Mission,A Time for Heroes,Mission,https://wiki.guildwars.com/wiki/A_Time_for_Heroes_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"5,000","1,000","2,500",Dwarf reputation points,40,,100,140
Destruction's Depths-Mission,Destruction's Depths,Mission,https://wiki.guildwars.com/wiki/Destruction%27s_Depths_(Zaishen_quest),Eye of the North,TRUE,Depths of Tyria,Depths of Tyria,"5,000","1,000","2,500",Dwarf reputation points,40,,100,140
A Gate Too Far-Mission,A Gate Too Far,Mission,https://wiki.guildwars.com/wiki/A_Gate_Too_Far_(Zaishen_quest),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"5,000","1,000","2,500",Norn reputation points,40,,100,140
Curse of the Nornbear-Mission,Curse of the Nornbear,Mission,https://wiki.guildwars.com/wiki/Curse_of_the_Nornbear_(Zaishen_quest),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"3,000",500,"1,500",Norn reputation points,30,,75,105
Blood Washes Blood-Mission,Blood Washes Blood,Mission,https://wiki.guildwars.com/wiki/Blood_Washes_Blood_(Zaishen_quest),Eye of the North,TRUE,Far Shiverpeaks,Far Shiverpeaks,"3,000",500,"1,500",Norn reputation points,30,,75,105
G.O.L.E.M.-Mission,G.O.L.E.M.,Mission,https://wiki.guildwars.com/wiki/G.O.L.E.M._(Zaishen_quest),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"5,000","1,000","2,500",Asura reputation points,40,,100,140
Finding the Bloodstone-Mission,Finding the Bloodstone,Mission,https://wiki.guildwars.com/wiki/Finding_the_Bloodstone_(Zaishen_quest),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"3,000",500,"1,500",Asura reputation points,30,,75,105
The Elusive Golemancer-Mission,The Elusive Golemancer,Mission,https://wiki.guildwars.com/wiki/The_Elusive_Golemancer_(Zaishen_quest),Eye of the North,TRUE,Tarnished Coast,Tarnished Coast,"3,000",500,"1,500",Asura reputation points,30,,75,105
The Eternal Grove-Mission,The Eternal Grove,Mission,https://wiki.guildwars.com/wiki/The_Eternal_Grove_(Zaishen_quest),Factions,TRUE,Echovald Forest,Echovald Forest,"5,000","1,000","2,500",Kurzick Faction,30,45,75,150
Arborstone-Mission,Arborstone,Mission,https://wiki.guildwars.com/wiki/Arborstone_(Zaishen_quest),Factions,TRUE,Echovald Forest,Echovald Forest,"5,000","1,000","2,500",Kurzick Faction,30,45,75,150
Raisu Palace-Mission,Raisu Palace,Mission,https://wiki.guildwars.com/wiki/Raisu_Palace_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"5,000","1,000",,,30,45,75,150
Imperial Sanctum-Mission,Imperial Sanctum,Mission,https://wiki.guildwars.com/wiki/Imperial_Sanctum_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"5,000","1,000",,,30,45,75,150
Sunjiang District-Mission,Sunjiang District,Mission,https://wiki.guildwars.com/wiki/Sunjiang_District_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"5,000","1,000",,,30,45,75,150
Tahnnakai Temple-Mission,Tahnnakai Temple,Mission,https://wiki.guildwars.com/wiki/Tahnnakai_Temple_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"3,000",500,,,20,30,50,100
Nahpui Quarter-Mission,Nahpui Quarter,Mission,https://wiki.guildwars.com/wiki/Nahpui_Quarter_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"3,000",500,,,20,30,50,100
Vizunah Square-Mission,Vizunah Square,Mission,https://wiki.guildwars.com/wiki/Vizunah_Square_(Zaishen_quest),Factions,TRUE,Kaineng City,Kaineng City,"3,000",500,,,20,30,50,100
Zen Daijun-Mission,Zen Daijun,Mission,https://wiki.guildwars.com/wiki/Zen_Daijun_(Zaishen_quest),Factions,TRUE,Shing Jea Island,Shing Jea Island,"1,000",250,,,15,22,37,74
Minister Cho's Estate-Mission,Minister Cho's Estate,Mission,https://wiki.guildwars.com/wiki/Minister_Cho%27s_Estate_(Zaishen_quest),Factions,TRUE,Shing Jea Island,Shing Jea Island,"1,000",250,,,15,22,37,74
Unwaking Waters-Mission,Unwaking Waters,Mission,https://wiki.guildwars.com/wiki/Unwaking_Waters_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"5,000","1,000","2,500",Both Kurzick Faction and Luxon Faction,30,45,75,150
Boreas Seabed-Mission,Boreas Seabed,Mission,https://wiki.guildwars.com/wiki/Boreas_Seabed_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"5,000","1,000","2,500",Luxon Faction,30,45,75,150
Gyala Hatchery-Mission,Gyala Hatchery,Mission,https://wiki.guildwars.com/wiki/Gyala_Hatchery_(Zaishen_quest),Factions,TRUE,The Jade Sea,The Jade Sea,"5,000","1,000","2,500",Luxon Faction,30,45,75,150
Gate of Desolation-Mission,Gate of Desolation,Mission,https://wiki.guildwars.com/wiki/Gate_of_Desolation_(Zaishen_quest),Nightfall,TRUE,Desolation,Desolation,"5,000","1,000",500,Lightbringer points,30,45,75,150
Ruins of Morah-Mission,Ruins of Morah,Mission,https://wiki.guildwars.com/wiki/Ruins_of_Morah_(Zaishen_quest),Nightfall,TRUE,Desolation,Desolation,"5,000","1,000",500,Lightbringer Points,30,45,75,150
Blacktide Den-Mission,Blacktide Den,Mission,https://wiki.guildwars.com/wiki/Blacktide_Den_(Zaishen_quest),Nightfall,TRUE,Istan,Istan,"1,000",250,100,Sunspear Promotion Points,15,22,37,74
Chahbek Village-Mission,Chahbek Village,Mission,https://wiki.guildwars.com/wiki/Chahbek_Village_(Zaishen_quest),Nightfall,TRUE,Istan,Istan,"1,000",250,100,Sunspear Promotion Points,15,22,37,74
Jokanur Diggings-Mission,Jokanur Diggings,Mission,https://wiki.guildwars.com/wiki/Jokanur_Diggings_(Zaishen_quest),Nightfall,TRUE,Istan,Istan,"1,000",250,100,Sunspear Promotion Points,15,22,37,74
Nundu Bay-Mission,Nundu Bay,Mission,https://wiki.guildwars.com/wiki/Nundu_Bay_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"5,000","1,000",500,Lightbringer points,30,45,75,150
Pogahn Passage-Mission,Pogahn Passage,Mission,https://wiki.guildwars.com/wiki/Pogahn_Passage_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"5,000","1,000",500,Sunspear Promotion Points,30,45,75,150
Rilohn Refuge-Mission,Rilohn Refuge,Mission,https://wiki.guildwars.com/wiki/Rilohn_Refuge_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"3,000",500,300,Sunspear Promotion Points,20,30,50,100
Moddok Crevice-Mission,Moddok Crevice,Mission,https://wiki.guildwars.com/wiki/Moddok_Crevice_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"3,000",500,300,Sunspear Promotion Points,20,30,50,100
Venta Cemetery-Mission,Venta Cemetery,Mission,https://wiki.guildwars.com/wiki/Venta_Cemetery_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"3,000",500,300,Sunspear Promotion Points,20,30,50,100
Kodonur Crossroads-Mission,Kodonur Crossroads,Mission,https://wiki.guildwars.com/wiki/Kodonur_Crossroads_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"3,000",500,300,Sunspear Promotion Points,20,30,50,100
Consulate Docks-Mission,Consulate Docks,Mission,https://wiki.guildwars.com/wiki/Consulate_Docks_(Zaishen_quest),Nightfall,TRUE,Kourna,Kourna,"1,000",250,100,Sunspear Promotion Points,15,22,37,74
Gate of Madness-Mission,Gate of Madness,Mission,https://wiki.guildwars.com/wiki/Gate_of_Madness_(Zaishen_quest),Nightfall,TRUE,Realm of Torment,Realm of Torment,"5,000","1,000",500,Lightbringer Points,30,45,75,150
Gate of Pain-Mission,Gate of Pain,Mission,https://wiki.guildwars.com/wiki/Gate_of_Pain_(Zaishen_quest),Nightfall,TRUE,Realm of Torment,Realm of Torment,"5,000","1,000",500,Lightbringer points,30,45,75,150
Abaddon's Gate-Mission,Abaddon's Gate,Mission,https://wiki.guildwars.com/wiki/Abaddon%27s_Gate_(Zaishen_quest),Nightfall,TRUE,Realm of Torment,Realm of Torment,"5,000","1,000",500,Lightbringer Points,30,45,75,150
Grand Court of Sebelkeh-Mission,Grand Court of Sebelkeh,Mission,https://wiki.guildwars.com/wiki/Grand_Court_of_Sebelkeh_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"5,000","1,000",500,Lightbringer Points,30,45,75,150
Dasha Vestibule-Mission,Dasha Vestibule,Mission,https://wiki.guildwars.com/wiki/Dasha_Vestibule_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"5,000","1,000",500,Sunspear Promotion Points,30,45,75,150
Dzagonur Bastion-Mission,Dzagonur Bastion,Mission,https://wiki.guildwars.com/wiki/Dzagonur_Bastion_(Zaishen_quest),Nightfall,TRUE,Vabbi,Vabbi,"5,000","1,000",500,Sunspear Promotion Points,30,45,75,150
